25
(0,-7.633042,39.153901
(1,-8.633042,41.153901)
(2,-8.576439,41.143554)
(3,-8.622536,41.144024)
(4,-8.614396,41.148573)
(5,-8.632394,41.150755)
(6,-8.614710,41.153725)
(7,-8.578512,41.169291)
(8,-8.577122,41.172792)
(9,-8.625129,41.148539)
(10,-8.616304,41.145848)
(11,-8.640873,41.145182)
(12,-8.622063,41.155609)
(13,-8.613200,41.153691)
(14,-8.592097,41.144766)
(15,-8.621120,41.148316)
(16,-8.612651,41.157341)
(17,-8.588446,41.174699)
(18,-8.625690,41.165764)
(19,-8.628379,41.148854)
(20,-8.647275,41.168603)
(21,-8.592092,41.155634)
(22,-8.589429,41.140989)
(23,-8.651426,41.156238)
(24,-8.615941,41.143020)
