20
(0, 18, 0, blue ,1, - , % , % )
(0, 1, 0, blue ,1, - , % , % )
(1, 1, 0, blue ,1, - , % , % )
(1, 11, 0, blue ,1, - , % , % )
(2, 18, 0, blue ,1, - , % , % )
(2, 19, 0, blue ,1, - , % , % )
(3, 1, 0, blue ,1, - , % , % )
(3, 0, 0, blue ,1, - , % , % )
(4, 16, 0, blue ,1, - , % , % )
(4, 19, 0, blue ,1, - , % , % )
(5, 18, 0, blue ,1, - , % , % )
(5, 11, 0, blue ,1, - , % , % )
(6, 5, 0, blue ,1, - , % , % )
(6, 21, 0, blue ,1, - , % , % )
(7, 19, 0, blue ,1, - , % , % )
(7, 19, 0, blue ,1, - , % , % )
(8, 19, 0, blue ,1, - , % , % )
(8, 21, 0, blue ,1, - , % , % )
(9, 0, 0, blue ,1, - , % , % )
(9, 1, 0, blue ,1, - , % , % )
