24
(0, 150, cyan , - , 20, - )
(0, 300, cyan , - , 20, - )
(0, 450, cyan , - , 20, - )
(0, 600, cyan , - , 20, - )
(150, 0, cyan , - , 20, - )
(150, 150, cyan , - , 20, - )
(150, 300, cyan , - , 20, - )
(150, 450, cyan , - , 20, - )
(150, 600, cyan , - , 20, - )
(300, 0, cyan , - , 20, - )
(300, 150, cyan , - , 20, - )
(300, 300, cyan , - , 20, - )
(300, 450, cyan , - , 20, - )
(300, 600, cyan , - , 20, - )
(450, 0, cyan , - , 20, - )
(450, 150, cyan , - , 20, - )
(450, 300, cyan , - , 20, - )
(450, 450, cyan , - , 20, - )
(450, 600, cyan , - , 20, - )
(600, 0, cyan , - , 20, - )
(600, 150, cyan , - , 20, - )
(600, 300, cyan , - , 20, - )
(600, 450, cyan , - , 20, - )
(600, 600, cyan , - , 20, - )
